from,to,amount,miner,mined_amount
1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,2120,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,547
12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,773,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,185
1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1434,14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,117
1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,7943,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,857
12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,7545,17i6Y2533pJ3ezfAL5Dh6JVry8xWTxKifz,337
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,5900,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,1004
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,12717PgLULE5rakr2mMMZgrG7SuqYzULZE,745,17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,121
18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,3416,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,97
1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,4249,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,1126
1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,403,19RL2gsK2XHFBUdaz87roTT6C5AMbHvKR5,29
17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,1472,19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,237
1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,4352,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,1352
1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,6130,1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,910
164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,1AhuUQdovKNjjy7p6BR9LVnRh1KjQ7Hmdy,6025,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,579
13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,82,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,3
1AhuUQdovKNjjy7p6BR9LVnRh1KjQ7Hmdy,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,8569,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,1251
1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,2507,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,470
1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,9838,19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,777
1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,3531,1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,1063
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,6257,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,811
1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,9261,19a5wU37AZJBgdfiLVHrHwCWvr46BUCvmn,2975
1DwrFDDHkkU8TMQahyn6hGtay63QhZncVe,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,8340,1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,2503
191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,5220,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,592
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,7759,1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,2468
14gwBM7uZQ3izxBM7bJWW8dNFy5xteqAor,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,341,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,81
15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,8309,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,1257
1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,1366,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,152
14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,6353,1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,628
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,1899,1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,232
1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,5376,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,1104
1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,7512,18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,556
1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,8074,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,1266
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,768,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,57
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,343,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,30
17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,8327,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1870
1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,1BtE6E1Dn8u8d7SmdHMC5nS8xPAc7hYDuY,2635,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,755
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,213,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,66
19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,27772,12717PgLULE5rakr2mMMZgrG7SuqYzULZE,7392
19yewcFu7XjV6v9pAuBbfUmZiebbyYEP8Q,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,5814,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,685
18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,8779,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1944
1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1278,14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,298
1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,10188,1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,435
17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,7485,1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,1168
1HrsHXadv8NjoDuw9zEoctMTS6ojEPz2RS,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,3760,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,55
1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,8569,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,2731
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,568,19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,6
1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,3163,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,630
1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,9839,14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,580
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,1952,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,107
1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,4210,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,318
1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,1609,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,266
1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,4384,18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,1399
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,1CAzFPK2HjTtjbWunEcayGgCr6sC2Enyx8,957,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,296
1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,22176,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1946
19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,502,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,130
1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,17150,13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,2862
1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,4207,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,740
1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,2251,19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,532
1GZpsHrqEt9A6Lo24RMeUSrXko3mt84Q4t,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,4978,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,65
1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,488,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,105
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,7549,14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,1512
14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,2937,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,78
19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,93,1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,1
1CAzFPK2HjTtjbWunEcayGgCr6sC2Enyx8,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,3720,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,1199
1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,14928,17hkhmJ657YdP5ce9MA85sx6iun153BmFE,2286
1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,1950,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,577
19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,1Jst7ScTCeLVVRasF4512z7xFEMHzKF267,2565,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,53
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,10078,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1063
1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,3004,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,347
1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,3431,19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,1055
1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,12717PgLULE5rakr2mMMZgrG7SuqYzULZE,687,1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,9
1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,704,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,171
14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,3087,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,288
14gwBM7uZQ3izxBM7bJWW8dNFy5xteqAor,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,4245,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,354
19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,4135,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,819
19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,1261,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,361
